Experiment,Average
1,0.085
2,0.077
3,0.078
4,0.086
5,0.078
6,0.081
7,0.085
8,0.086
9,0.101
10,0.099
11,0.09
12,0.102
13,0.103
14,0.146
15,0.118
16,0.185
