Experiment,Average
1,0.054
2,0.054
3,0.058
4,0.067
5,0.067
6,0.064
7,0.069
8,0.062
9,0.086
10,0.061
11,0.065
12,0.06
13,0.071
14,0.107
15,0.079
16,0.105
17,0.234
18,0.102
19,0.22
20,1.307
21,0.249
22,1.295
23,6.445
24,28.366
25,6.491
26,27.782
