Sequential,BooksNumber,Time,Seed
False,1,0.07073187828063965,42
True,1,0.06244349479675293,42
False,2,0.07282710075378418,42
True,2,0.06265759468078613,42
False,3,0.060196638107299805,42
True,3,0.060332298278808594,42
False,4,0.05865621566772461,42
True,4,0.06097412109375,42
False,5,0.05888724327087402,42
True,5,0.05816173553466797,42
False,6,0.06757879257202148,42
True,6,0.0502164363861084,42
False,7,0.0807499885559082,42
True,7,0.06573247909545898,42
False,8,0.07495760917663574,42
True,8,0.06328630447387695,42
False,9,0.07435727119445801,42
True,9,0.06054377555847168,42
False,10,0.050787925720214844,42
True,10,0.04781675338745117,42
False,11,0.06717514991760254,42
True,11,0.06947159767150879,42
False,12,0.0575253963470459,42
True,12,0.06099700927734375,42
False,13,0.06220245361328125,42
True,13,0.06038832664489746,42
False,14,0.06785106658935547,42
True,14,0.08327817916870117,42
False,15,0.10134577751159668,42
True,15,0.08871030807495117,42
False,16,0.09499669075012207,42
True,16,0.0914757251739502,42
False,17,0.09614300727844238,42
True,17,0.10954880714416504,42
False,18,0.1344923973083496,42
True,18,0.11374068260192871,42
False,19,0.23908710479736328,42
True,19,0.24668073654174805,42
False,20,0.19501781463623047,42
True,20,0.11254477500915527,42
False,21,0.27660608291625977,42
True,21,0.24069476127624512,42
False,22,0.7562189102172852,42
True,22,0.8690361976623535,42
False,23,3.6264779567718506,42
True,23,3.2482080459594727,42
False,24,3.1771247386932373,42
True,24,3.3922019004821777,42
False,1,0.10003089904785156,10
True,1,0.05313754081726074,10
False,2,0.042728424072265625,10
True,2,0.05146074295043945,10
False,3,0.05159306526184082,10
True,3,0.06633925437927246,10
False,4,0.07856035232543945,10
True,4,0.07067489624023438,10
False,5,0.0630028247833252,10
True,5,0.06231284141540527,10
False,6,0.07400345802307129,10
True,6,0.06857848167419434,10
False,7,0.07429718971252441,10
True,7,0.0678563117980957,10
False,8,0.07110357284545898,10
True,8,0.06730508804321289,10
False,9,0.07244420051574707,10
True,9,0.0716257095336914,10
False,10,0.06821346282958984,10
True,10,0.07326745986938477,10
False,11,0.07732272148132324,10
True,11,0.0690450668334961,10
False,12,0.08595085144042969,10
True,12,0.06321382522583008,10
False,13,0.08131051063537598,10
True,13,0.08199691772460938,10
False,14,0.09476685523986816,10
True,14,0.08179664611816406,10
False,15,0.07830429077148438,10
True,15,0.08794522285461426,10
False,16,0.0763399600982666,10
True,16,0.06767559051513672,10
False,17,0.07900261878967285,10
True,17,0.0699615478515625,10
False,18,0.10512280464172363,10
True,18,0.10073184967041016,10
False,19,0.20682358741760254,10
True,19,0.26235508918762207,10
False,20,0.1062779426574707,10
True,20,0.08777165412902832,10
False,21,0.2085099220275879,10
True,21,0.27610039710998535,10
False,22,0.9344913959503174,10
True,22,0.8387222290039062,10
False,23,3.744823932647705,10
True,23,3.747408151626587,10
False,24,3.427722930908203,10
True,24,3.7287392616271973,10
False,1,0.06429409980773926,249
True,1,0.06642627716064453,249
False,2,0.06803369522094727,249
True,2,0.07668519020080566,249
False,3,0.06530880928039551,249
True,3,0.06300592422485352,249
False,4,0.07471036911010742,249
True,4,0.06861186027526855,249
False,5,0.08849692344665527,249
True,5,0.06001734733581543,249
False,6,0.08132815361022949,249
True,6,0.07426667213439941,249
False,7,0.08437490463256836,249
True,7,0.07867574691772461,249
False,8,0.07327413558959961,249
True,8,0.06837177276611328,249
False,9,0.07430267333984375,249
True,9,0.07825827598571777,249
False,10,0.07434487342834473,249
True,10,0.06686067581176758,249
False,11,0.07399821281433105,249
True,11,0.07029414176940918,249
False,12,0.08959078788757324,249
True,12,0.07336044311523438,249
False,13,0.09935426712036133,249
True,13,0.09871673583984375,249
False,14,0.10224533081054688,249
True,14,0.09448981285095215,249
False,15,0.09366655349731445,249
True,15,0.09691929817199707,249
False,16,0.11380481719970703,249
True,16,0.09977531433105469,249
False,17,0.15761160850524902,249
True,17,0.09386229515075684,249
False,18,0.11629939079284668,249
True,18,0.11469721794128418,249
False,19,0.22158241271972656,249
True,19,0.21534967422485352,249
False,20,0.11086893081665039,249
True,20,0.10000371932983398,249
False,21,0.2084949016571045,249
True,21,0.21018719673156738,249
False,22,0.8927614688873291,249
True,22,0.9431719779968262,249
False,23,3.6595771312713623,249
True,23,3.732654571533203,249
False,24,3.7099320888519287,249
True,24,3.7932167053222656,249
False,1,0.05952715873718262,145
True,1,0.06400585174560547,145
False,2,0.062006235122680664,145
True,2,0.06545877456665039,145
False,3,0.06110501289367676,145
True,3,0.07183051109313965,145
False,4,0.07520556449890137,145
True,4,0.08191680908203125,145
False,5,0.0835270881652832,145
True,5,0.11785531044006348,145
False,6,0.0742332935333252,145
True,6,0.07599830627441406,145
False,7,0.07800078392028809,145
True,7,0.07099461555480957,145
False,8,0.06518959999084473,145
True,8,0.06135082244873047,145
False,9,0.09464120864868164,145
True,9,0.0687716007232666,145
False,10,0.08916497230529785,145
True,10,0.06699919700622559,145
False,11,0.08564209938049316,145
True,11,0.0739901065826416,145
False,12,0.07487607002258301,145
True,12,0.09293675422668457,145
False,13,0.10199594497680664,145
True,13,0.07692623138427734,145
False,14,0.05948805809020996,145
True,14,0.07201361656188965,145
False,15,0.06999754905700684,145
True,15,0.06871390342712402,145
False,16,0.09116029739379883,145
True,16,0.06824541091918945,145
False,17,0.08992743492126465,145
True,17,0.10696983337402344,145
False,18,0.10708284378051758,145
True,18,0.1035776138305664,145
False,19,0.18077468872070312,145
True,19,0.21285438537597656,145
False,20,0.11766505241394043,145
True,20,0.1116340160369873,145
False,21,0.2792685031890869,145
True,21,0.3217310905456543,145
False,22,0.9095802307128906,145
True,22,0.8625049591064453,145
False,23,3.777397394180298,145
True,23,3.8488359451293945,145
False,24,3.9244730472564697,145
True,24,3.881072998046875,145
False,25,13.929997205734253,42
True,25,13.237699508666992,42
False,26,999,42
True,26,999,42
False,27,999,42
True,27,999,42
False,28,999,42
True,28,999,42
False,29,999,42
True,29,999,42
False,30,999,42
True,30,999,42
False,31,999,42
True,31,999,42
False,32,999,42
True,32,999,42
False,33,999,42
True,33,999,42
False,34,999,42
True,34,999,42
False,25,999,10
True,25,12.693146228790283,10
False,26,999,10
True,26,999,10
False,27,999,10
True,27,999,10
False,28,999,10
True,28,999,10
False,29,999,10
True,29,999,10
False,30,999,10
True,30,999,10
False,31,999,10
True,31,999,10
False,32,999,10
True,32,999,10
False,33,999,10
True,33,999,10
False,34,999,10
True,34,999,10
False,25,999,249
True,25,999,249
False,26,999,249
True,26,999,249
False,27,999,249
True,27,999,249
False,28,999,249
True,28,999,249
False,29,999,249
True,29,999,249
False,30,999,249
True,30,999,249
False,31,999,249
True,31,999,249
False,32,999,249
True,32,999,249
False,33,999,249
True,33,999,249
False,34,999,249
True,34,999,249
False,25,999,145
True,25,999,145
False,26,999,145
True,26,999,145
False,27,999,145
True,27,14.179569244384766,145
False,28,999,145
True,28,999,145
False,29,999,145
True,29,999,145
False,30,999,145
True,30,999,145
False,31,999,145
True,31,999,145
False,32,999,145
True,32,999,145
False,33,999,145
True,33,999,145
False,34,999,145
True,34,999,145
