Sequential,BooksNumber,Time,Seed
False,1,5.560945510864258,42
True,1,0.7970821857452393,42
False,2,1.121060848236084,42
True,2,0.2821638584136963,42
False,3,0.8268451690673828,42
True,3,1.9139628410339355,42
False,4,0.386263370513916,42
True,4,1.2725491523742676,42
False,5,1.3068933486938477,42
True,5,3.9093687534332275,42
False,6,0.20547747611999512,42
True,6,0.15440130233764648,42
False,7,0.4254910945892334,42
True,7,1.0891327857971191,42
False,8,5.64162278175354,42
True,8,1.2289807796478271,42
False,9,4.9392170906066895,42
True,9,1.086517572402954,42
False,10,4.982822895050049,42
True,10,1.0909969806671143,42
False,11,1.4980599880218506,42
True,11,1.0899767875671387,42
False,12,1.9907503128051758,42
True,12,0.3616189956665039,42
False,13,0.6155166625976562,42
True,13,0.6300139427185059,42
False,14,0.7698104381561279,42
True,14,1.3250048160552979,42
False,15,1.972144603729248,42
True,15,4.50601863861084,42
False,16,0.46732616424560547,42
True,16,1.246758222579956,42
False,17,4.239142656326294,42
True,17,0.5267014503479004,42
False,18,999,42
True,18,5.356440305709839,42
False,19,2.3259117603302,42
True,19,5.6282994747161865,42
False,20,6.2510762214660645,42
True,20,4.93312931060791,42
False,21,5.7584755420684814,42
True,21,2.2866621017456055,42
False,22,999,42
True,22,1.326049566268921,42
False,23,999,42
True,23,5.80534291267395,42
False,24,15.030157089233398,42
True,24,5.549799680709839,42
False,1,5.957859992980957,10
True,1,5.892864465713501,10
False,2,0.8719818592071533,10
True,2,5.641499280929565,10
False,3,1.038996696472168,10
True,3,5.978870630264282,10
False,4,2.966721296310425,10
True,4,5.304597854614258,10
False,5,4.997515439987183,10
True,5,6.126943349838257,10
False,6,5.4151930809021,10
True,6,7.991609811782837,10
False,7,5.977304935455322,10
True,7,5.318562269210815,10
False,8,1.0761263370513916,10
True,8,6.038662672042847,10
False,9,5.507222890853882,10
True,9,5.418736934661865,10
False,10,5.961762428283691,10
True,10,5.883023500442505,10
False,11,6.014729738235474,10
True,11,0.6209099292755127,10
False,12,0.6050026416778564,10
True,12,2.3492722511291504,10
False,13,5.914877891540527,10
True,13,1.1131296157836914,10
False,14,4.230727910995483,10
True,14,0.7596418857574463,10
False,15,1.5338480472564697,10
True,15,2.3919219970703125,10
False,16,0.5311470031738281,10
True,16,5.783440828323364,10
False,17,7.509531259536743,10
True,17,5.429861068725586,10
False,18,6.074509143829346,10
True,18,6.105560779571533,10
False,19,6.508420705795288,10
True,19,2.3253366947174072,10
False,20,7.332504749298096,10
True,20,5.806578159332275,10
False,21,6.51794695854187,10
True,21,0.6307353973388672,10
False,22,15.178182125091553,10
True,22,5.620137929916382,10
False,23,999,10
True,23,6.225341558456421,10
False,24,999,10
True,24,5.169105768203735,10
False,1,1.2139778137207031,249
True,1,5.703541278839111,249
False,2,5.889552354812622,249
True,2,5.353937149047852,249
False,3,2.5070323944091797,249
True,3,4.978973388671875,249
False,4,4.890101909637451,249
True,4,2.2578656673431396,249
False,5,6.047769069671631,249
True,5,5.857710361480713,249
False,6,4.995350360870361,249
True,6,5.925989389419556,249
False,7,5.991837501525879,249
True,7,5.853245496749878,249
False,8,5.938836336135864,249
True,8,5.837905645370483,249
False,9,6.00571084022522,249
True,9,0.9850850105285645,249
False,10,5.940403938293457,249
True,10,1.8508374691009521,249
False,11,5.085028409957886,249
True,11,5.687843322753906,249
False,12,3.8800716400146484,249
True,12,0.502255916595459,249
False,13,5.191373825073242,249
True,13,5.81861424446106,249
False,14,5.9461493492126465,249
True,14,0.6431930065155029,249
False,15,5.18855094909668,249
True,15,5.888965368270874,249
False,16,999,249
True,16,3.0838961601257324,249
False,17,3.4771432876586914,249
True,17,4.972355127334595,249
False,18,5.107116460800171,249
True,18,5.8774635791778564,249
False,19,999,249
True,19,1.220804214477539,249
False,20,2.621537208557129,249
True,20,5.645391941070557,249
False,21,6.69103479385376,249
True,21,6.522463321685791,249
False,22,999,249
True,22,1.1527602672576904,249
False,23,14.65530776977539,249
True,23,1.9168224334716797,249
False,24,8.582741498947144,249
True,24,5.697149991989136,249
False,1,5.774318695068359,145
True,1,0.992650032043457,145
False,2,6.047894239425659,145
True,2,5.845752000808716,145
False,3,5.899112701416016,145
True,3,5.229404926300049,145
False,4,5.104474306106567,145
True,4,5.940396547317505,145
False,5,5.957592487335205,145
True,5,1.0873291492462158,145
False,6,1.045051097869873,145
True,6,6.01910662651062,145
False,7,5.998052597045898,145
True,7,0.9591774940490723,145
False,8,6.121257543563843,145
True,8,5.631340980529785,145
False,9,6.096540927886963,145
True,9,2.551332473754883,145
False,10,6.011787176132202,145
True,10,5.768253326416016,145
False,11,5.884127140045166,145
True,11,5.858436584472656,145
False,12,6.068093776702881,145
True,12,5.195653438568115,145
False,13,1.7348344326019287,145
True,13,1.0658161640167236,145
False,14,5.725178480148315,145
True,14,5.680404424667358,145
False,15,6.0009214878082275,145
True,15,1.760561466217041,145
False,16,1.1301212310791016,145
True,16,5.224675178527832,145
False,17,6.360736131668091,145
True,17,5.356615304946899,145
False,18,1.4820408821105957,145
True,18,4.823346138000488,145
False,19,999,145
True,19,5.681822776794434,145
False,20,6.235360383987427,145
True,20,5.464002370834351,145
False,21,999,145
True,21,6.093760251998901,145
False,22,8.079726219177246,145
True,22,6.292407274246216,145
False,23,16.846862077713013,145
True,23,1.1313581466674805,145
False,24,14.54732060432434,145
True,24,5.377077579498291,145
