Experiment,Average
1,0.054
2,0.056
3,0.061
4,0.061
5,0.058
6,0.071
7,0.098
8,0.066
9,0.058
10,0.061
11,0.06
12,0.065
13,0.079
14,2.379
15,0.089
16,0.152
17,0.233
18,0.178
19,0.291
20,1.371
