Experiment,Average
1,0.062
2,0.067
3,0.071
4,0.063
5,0.063
6,0.064
7,0.068
8,0.074
9,0.07
10,0.082
11,0.087
12,0.073
13,0.081
14,0.124
15,0.095
16,1.907
