Experiment,Iteration,Time
8,49,0.068
8,50,0.085
9,1,0.076
9,2,0.072
9,3,0.071
9,4,0.081
9,5,0.073
9,6,0.07
9,7,0.071
9,8,0.067
9,9,0.071
9,10,0.07
9,11,0.07
9,12,0.07
9,13,0.066
9,14,0.075
9,15,0.075
9,16,0.068
9,17,0.068
9,18,0.066
9,19,0.069
9,20,0.071
9,21,0.075
9,22,0.066
9,23,0.066
9,24,0.071
9,25,0.07
9,26,0.073
9,27,0.072
9,28,0.069
9,29,0.068
9,30,0.075
9,31,0.077
9,32,0.068
9,33,0.068
9,34,0.072
9,35,0.074
9,36,0.073
9,37,0.066
9,38,0.069
9,39,0.066
9,40,0.069
9,41,0.067
9,42,0.065
9,43,0.066
9,44,0.067
9,45,0.07
9,46,0.07
9,47,0.066
9,48,0.068
9,49,0.066
9,50,0.068
10,1,0.089
10,2,0.095
10,3,0.088
10,4,0.105
10,5,0.084
10,6,0.082
10,7,0.085
10,8,0.081
10,9,0.084
10,10,0.089
10,11,0.082
10,12,0.079
10,13,0.089
10,14,0.085
10,15,0.083
10,16,0.082
10,17,0.077
10,18,0.082
10,19,0.078
10,20,0.077
10,21,0.075
10,22,0.076
10,23,0.073
10,24,0.075
10,25,0.075
10,26,0.077
10,27,0.074
10,28,0.077
10,29,0.075
10,30,0.077
10,31,0.073
10,32,0.088
10,33,0.076
10,34,0.075
10,35,0.086
10,36,0.083
10,37,0.084
10,38,0.087
10,39,0.093
10,40,0.092
10,41,0.088
10,42,0.092
10,43,0.082
10,44,0.085
10,45,0.081
10,46,0.075
10,47,0.083
10,48,0.083
10,49,0.08
10,50,0.077
11,1,0.097
11,2,0.09
11,3,0.081
11,4,0.086
11,5,0.081
11,6,0.092
11,7,0.081
11,8,0.078
11,9,0.08
11,10,0.08
11,11,0.088
11,12,0.082
11,13,0.082
11,14,0.137
11,15,0.105
11,16,0.115
11,17,0.11
11,18,0.106
11,19,0.109
11,20,0.106
11,21,0.081
11,22,0.088
11,23,0.085
11,24,0.086
11,25,0.086
11,26,0.08
11,27,0.078
11,28,0.083
11,29,0.08
11,30,0.077
11,31,0.077
11,32,0.078
11,33,0.077
11,34,0.079
11,35,0.078
11,36,0.079
11,37,0.082
11,38,0.08
11,39,0.081
11,40,0.087
11,41,0.089
11,42,0.088
11,43,0.081
11,44,0.086
11,45,0.083
11,46,0.081
11,47,0.08
11,48,0.083
11,49,0.082
11,50,0.078
12,1,0.071
12,2,0.071
12,3,0.076
12,4,0.075
12,5,0.074
12,6,0.073
12,7,0.071
12,8,0.074
12,9,0.079
12,10,0.093
12,11,0.077
12,12,0.076
12,13,0.089
12,14,0.073
12,15,0.071
12,16,0.071
12,17,0.071
12,18,0.074
12,19,0.075
12,20,0.074
12,21,0.074
12,22,0.082
12,23,0.081
12,24,0.071
12,25,0.071
12,26,0.07
12,27,0.069
12,28,0.068
12,29,0.069
12,30,0.07
12,31,0.074
12,32,0.072
12,33,0.07
12,34,0.074
12,35,0.077
12,36,0.073
12,37,0.071
12,38,0.071
12,39,0.069
12,40,0.07
12,41,0.07
12,42,0.069
12,43,0.072
12,44,0.068
12,45,0.069
12,46,0.07
12,47,0.071
12,48,0.072
12,49,0.07
12,50,0.079
13,1,0.08
13,2,0.078
13,3,0.079
13,4,0.078
13,5,0.079
13,6,0.077
13,7,0.078
13,8,0.076
13,9,0.081
13,10,0.081
13,11,0.083
13,12,0.083
13,13,0.086
13,14,0.082
13,15,0.081
13,16,0.079
13,17,0.08
13,18,0.079
13,19,0.079
13,20,0.093
13,21,0.084
13,22,0.081
13,23,0.084
13,24,0.09
13,25,0.083
13,26,0.082
13,27,0.082
13,28,0.083
13,29,0.088
13,30,0.08
13,31,0.078
13,32,0.08
13,33,0.079
13,34,0.08
13,35,0.081
13,36,0.08
13,37,0.08
13,38,0.078
13,39,0.079
13,40,0.077
13,41,0.078
13,42,0.08
13,43,0.081
13,44,0.078
13,45,0.081
13,46,0.079
13,47,0.079
13,48,0.077
13,49,0.08
13,50,0.079
14,1,0.123
14,2,0.123
14,3,0.131
14,4,0.13
14,5,0.125
14,6,0.13
14,7,0.145
14,8,0.141
14,9,0.128
14,10,0.137
14,11,0.129
14,12,0.132
14,13,0.134
14,14,0.124
14,15,0.119
14,16,0.121
14,17,0.12
14,18,0.121
14,19,0.126
14,20,0.122
14,21,0.119
14,22,0.12
14,23,0.119
14,24,0.117
14,25,0.134
14,26,0.118
14,27,0.121
14,28,0.127
14,29,0.124
14,30,0.12
14,31,0.119
14,32,0.119
14,33,0.123
14,34,0.121
14,35,0.119
14,36,0.122
14,37,0.119
14,38,0.118
14,39,0.121
14,40,0.121
14,41,0.119
14,42,0.121
14,43,0.117
14,44,0.117
14,45,0.117
14,46,0.117
14,47,0.121
14,48,0.12
14,49,0.122
14,50,0.123
15,1,0.093
15,2,0.098
15,3,0.096
15,4,0.095
15,5,0.094
15,6,0.091
15,7,0.092
15,8,0.101
15,9,0.096
15,10,0.094
15,11,0.097
15,12,0.104
15,13,0.094
15,14,0.095
15,15,0.099
15,16,0.096
15,17,0.096
15,18,0.098
15,19,0.094
15,20,0.095
15,21,0.094
15,22,0.094
15,23,0.098
15,24,0.092
15,25,0.092
15,26,0.09
15,27,0.097
15,28,0.095
15,29,0.095
15,30,0.102
15,31,0.096
15,32,0.095
15,33,0.092
15,34,0.092
15,35,0.093
15,36,0.097
15,37,0.092
15,38,0.091
15,39,0.094
15,40,0.093
15,41,0.099
15,42,0.098
15,43,0.099
15,44,0.093
15,45,0.096
15,46,0.098
15,47,0.095
15,48,0.092
15,49,0.093
15,50,0.094
16,1,1.865
16,2,1.879
16,3,2.023
16,4,1.854
16,5,1.871
16,6,1.889
16,7,1.842
16,8,1.904
16,9,1.89
16,10,1.86
16,11,1.891
16,12,1.916
16,13,1.945
16,14,1.917
16,15,1.892
16,16,1.861
16,17,1.91
16,18,1.892
16,19,1.886
16,20,1.835
16,21,1.932
16,22,1.885
16,23,1.904
16,24,1.857
16,25,1.888
16,26,1.843
16,27,1.925
16,28,1.851
16,29,1.929
16,30,1.875
16,31,1.956
16,32,2.375
16,33,1.92
16,34,1.872
16,35,1.905
16,36,1.93
16,37,1.905
16,38,1.895
16,39,1.968
16,40,1.958
16,41,1.997
16,42,1.869
16,43,1.908
16,44,1.925
16,45,1.921
16,46,1.86
16,47,1.892
16,48,1.848
16,49,1.878
16,50,1.866
