Experiment,Average
1,0.06
2,0.06
3,0.062
4,0.061
5,0.061
6,0.061
7,0.074
8,0.066
9,0.066
10,0.067
11,0.065
12,0.069
13,0.08
14,0.111
15,0.08
16,0.106
17,0.242
18,0.111
19,0.236
20,1.325
21,0.251
22,1.317
23,6.477
