Experiment,Iteration,Time
8,49,0.064
8,50,0.066
9,1,0.067
9,2,0.066
9,3,0.067
9,4,0.068
9,5,0.069
9,6,0.069
9,7,0.064
9,8,0.071
9,9,0.07
9,10,0.076
9,11,0.07
9,12,0.068
9,13,0.064
9,14,0.068
9,15,0.067
9,16,0.065
9,17,0.064
9,18,0.065
9,19,0.062
9,20,0.063
9,21,0.064
9,22,0.065
9,23,0.063
9,24,0.061
9,25,0.062
9,26,0.062
9,27,0.064
9,28,0.063
9,29,0.064
9,30,0.066
9,31,0.067
9,32,0.062
9,33,0.064
9,34,0.066
9,35,0.067
9,36,0.068
9,37,0.068
9,38,0.07
9,39,0.066
9,40,0.062
9,41,0.066
9,42,0.067
9,43,0.07
9,44,0.065
9,45,0.063
9,46,0.062
9,47,0.066
9,48,0.063
9,49,0.065
9,50,0.061
10,1,0.067
10,2,0.069
10,3,0.07
10,4,0.07
10,5,0.071
10,6,0.07
10,7,0.07
10,8,0.07
10,9,0.068
10,10,0.067
10,11,0.089
10,12,0.064
10,13,0.068
10,14,0.071
10,15,0.069
10,16,0.067
10,17,0.064
10,18,0.065
10,19,0.067
10,20,0.066
10,21,0.065
10,22,0.068
10,23,0.073
10,24,0.068
10,25,0.068
10,26,0.07
10,27,0.068
10,28,0.07
10,29,0.072
10,30,0.071
10,31,0.069
10,32,0.073
10,33,0.07
10,34,0.07
10,35,0.067
10,36,0.064
10,37,0.064
10,38,0.065
10,39,0.065
10,40,0.063
10,41,0.065
10,42,0.064
10,43,0.063
10,44,0.063
10,45,0.061
10,46,0.06
10,47,0.062
10,48,0.061
10,49,0.067
10,50,0.063
11,1,0.057
11,2,0.058
11,3,0.058
11,4,0.059
11,5,0.057
11,6,0.059
11,7,0.059
11,8,0.059
11,9,0.058
11,10,0.059
11,11,0.062
11,12,0.062
11,13,0.07
11,14,0.066
11,15,0.066
11,16,0.066
11,17,0.062
11,18,0.062
11,19,0.067
11,20,0.073
11,21,0.07
11,22,0.072
11,23,0.073
11,24,0.07
11,25,0.068
11,26,0.071
11,27,0.073
11,28,0.064
11,29,0.063
11,30,0.069
11,31,0.072
11,32,0.07
11,33,0.066
11,34,0.062
11,35,0.062
11,36,0.066
11,37,0.07
11,38,0.063
11,39,0.064
11,40,0.061
11,41,0.071
11,42,0.066
11,43,0.061
11,44,0.062
11,45,0.062
11,46,0.065
11,47,0.067
11,48,0.067
11,49,0.064
11,50,0.066
12,1,0.08
12,2,0.072
12,3,0.078
12,4,0.07
12,5,0.071
12,6,0.069
12,7,0.066
12,8,0.067
12,9,0.066
12,10,0.067
12,11,0.065
12,12,0.068
12,13,0.067
12,14,0.065
12,15,0.067
12,16,0.068
12,17,0.074
12,18,0.072
12,19,0.068
12,20,0.069
12,21,0.069
12,22,0.067
12,23,0.066
12,24,0.066
12,25,0.067
12,26,0.067
12,27,0.068
12,28,0.069
12,29,0.067
12,30,0.067
12,31,0.071
12,32,0.069
12,33,0.068
12,34,0.068
12,35,0.07
12,36,0.067
12,37,0.068
12,38,0.071
12,39,0.074
12,40,0.071
12,41,0.068
12,42,0.069
12,43,0.068
12,44,0.067
12,45,0.069
12,46,0.068
12,47,0.067
12,48,0.075
12,49,0.068
12,50,0.068
13,1,0.074
13,2,0.078
13,3,0.077
13,4,0.085
13,5,0.083
13,6,0.08
13,7,0.078
13,8,0.078
13,9,0.078
13,10,0.076
13,11,0.079
13,12,0.084
13,13,0.075
13,14,0.077
13,15,0.075
13,16,0.077
13,17,0.077
13,18,0.081
